X27	X11	X57	X52	X34	X18	X15	X47	X17	X51	X56	X12	X2	X50	X49	X60	X9	X36	X13	X39	X42	X3	X5	X53	X1	X10	X54	X41	X45	X37	X30	X38	X33	X40	X35	X32	X26	X55	X46	X8	X24	X16	X31	X59	X4	X58	X7	X22	X14	X19
0.7070	-0.1026	-10.0010	-2.9514	-0.3915	-0.9841	0.4233	0.5587	-0.8860	4.2413	2.3585	-1.2494	0.7158	-3.6972	6.3814	-2.1831	0.4915	-1.4165	0.6393	-6.3348	-0.9815	0.2381	0.7918	-0.4551	-2.0872	-0.2973	-0.2707	-0.0668	3.7696	-2.5507	-1.7129	-0.8073	0.5467	1.1776	-1.5169	-1.2151	0.6639	0.3592	0.1345	-0.3468	0.1692	1.7565	2.0956	-1.1743	0.1526	0.9128	0.2815	1.2984	1.0037	-0.0177
-1.5300	-2.7468	1.0744	-2.9836	-3.3361	-2.1792	1.0042	-3.4185	-2.4672	0.7650	4.5349	-1.2122	0.7417	3.0127	-1.0546	3.6962	-0.7759	3.2122	-0.8636	2.0255	-0.6640	-0.7620	0.2734	2.8916	2.1929	-1.7721	0.4209	-1.2834	-1.1593	-1.3830	-2.1655	-1.6435	1.4113	2.0611	-0.6043	0.6346	-0.1454	-1.8310	0.7706	-0.7442	0.8622	-1.8402	0.8542	4.3493	-2.1884	1.2732	-1.7439	-0.3219	-0.0720	0.0921
-2.5044	0.2513	6.0790	3.5237	3.5597	1.4996	-0.2090	-0.5247	-1.3102	0.8445	1.6079	1.8696	-1.9665	-1.5492	-4.1123	0.5384	-1.6387	-0.9273	0.1111	-1.4891	-2.6434	0.3759	2.6894	4.5721	0.3884	2.9056	1.9668	1.5555	1.1529	0.2017	1.0341	-1.8096	-2.9876	-4.4354	0.3070	0.5425	0.1416	-4.1953	-0.3197	2.1865	0.0941	-0.5760	1.8919	0.8745	1.2277	-6.3662	0.5741	1.3466	1.2841	-0.9370
-0.0088	-1.6568	2.8578	2.0549	-0.3223	-0.8525	2.2363	1.2484	-0.4566	-3.3092	-0.6158	-1.3032	0.5326	5.2507	-3.4831	2.3301	0.1786	1.2136	-2.2015	2.9673	-2.1843	1.0935	-1.6740	-2.9011	1.3589	-1.0917	-1.6870	-0.3701	-0.9682	-1.4119	-0.6450	-1.2153	0.7885	0.9186	0.0885	-0.6530	0.8791	0.5570	-0.0050	0.9052	-1.3846	-0.1283	-0.3052	0.1150	0.2386	0.5898	0.7190	-1.7957	-1.1620	0.0827
-0.0998	-0.4082	-16.5560	0.7491	-4.3567	1.7605	3.1683	0.2096	-0.9807	6.2300	-0.2159	-0.1722	-0.1245	-10.0215	13.7771	-2.2674	1.3299	-3.3505	-0.0426	-6.6265	4.6090	3.4107	-0.2805	-4.9066	-3.5021	-1.1362	0.7744	1.2511	2.6491	-1.8578	1.3737	1.4908	0.9270	5.8499	-2.2074	1.0834	-2.3821	2.5167	2.8655	-0.2259	-0.6964	-1.3513	-0.8038	-3.0016	-1.4344	1.6967	3.7488	1.0265	-1.0682	-0.7845
-0.2720	-1.0040	-8.1464	-6.4094	-3.7511	-2.5766	-3.0006	3.7045	0.1711	7.4837	-0.5681	-0.0935	0.4643	-7.0377	9.4400	0.5260	-2.8054	-1.9965	-2.1775	-5.4208	-2.4188	2.1414	2.1050	-0.3956	-0.2044	-3.2150	-0.1563	-5.2038	-0.4517	1.3559	0.0389	-0.4648	2.7274	3.9528	-0.5613	-2.0876	4.4441	-2.4583	2.9518	-1.7407	0.6158	0.4101	-3.9725	2.2040	-0.3874	0.4452	-1.6830	2.7480	-3.3398	1.0647
-0.3452	0.7720	-2.7632	-3.8315	-0.7923	0.9435	-0.6236	-3.1566	-1.4921	-0.7653	-1.8793	-0.2346	-2.0083	0.9584	-0.6570	2.3613	-1.3019	1.6230	-3.2412	0.4010	-0.6468	-0.0023	-1.3561	2.6859	0.5238	-0.4184	0.3494	1.5886	0.6974	-1.3199	-0.7051	-0.7346	3.3573	2.5866	-0.8416	-0.2891	1.1389	1.4003	-1.2148	-0.3949	-1.5505	-1.8760	2.1991	-0.8658	-0.4986	3.3984	-1.8111	-1.1575	1.6185	-0.7175
4.0769	1.1774	2.6171	1.2697	0.3883	-3.2963	1.8979	0.7051	-3.0045	2.9568	2.4393	-0.3438	1.7669	-5.8609	5.1023	-5.0745	5.3237	1.8764	-0.4712	2.5350	0.9551	1.6532	2.9349	6.0234	0.0152	2.1002	-2.8256	4.4890	4.4896	-2.4755	2.0239	-3.1467	3.1319	-0.0383	-1.1274	-2.1715	-0.0865	6.3409	-0.3551	0.4939	-1.3902	-2.3545	1.9311	-4.8213	2.4686	-3.6596	3.3091	-1.0704	1.5042	-2.4493
-0.6535	-0.6568	-1.1138	-2.0436	-3.3602	-0.2832	1.5625	1.6575	1.2509	-1.2405	0.8111	2.5367	-1.9308	-0.9661	0.8281	-0.4560	-0.8645	-1.2093	0.2865	-2.4701	-3.7531	1.0946	-0.1207	-2.4589	0.7854	-1.6259	4.4146	-1.4351	-0.9368	-1.9319	1.4962	-0.1662	0.7383	5.2411	0.0841	-0.6430	-0.5222	-0.4070	0.4524	-2.2272	-1.8829	-0.0755	-1.4326	4.6215	0.0560	-0.1619	0.1682	1.5519	-1.4241	1.7558
-3.6049	0.4876	-10.7685	-6.9512	-2.9027	1.8635	-1.9190	-2.0214	0.9202	7.0859	-4.6620	1.0016	-1.2815	-5.4764	6.8580	2.1530	-2.3248	0.6036	-2.9392	0.0601	-1.1793	-3.2557	-0.5904	3.6491	0.7403	-3.1486	1.1437	-0.2193	0.8877	0.7346	-3.2020	-0.7276	3.6049	5.3831	-1.7040	1.1254	-0.6312	-3.6591	-0.2149	0.4622	-2.5103	1.3363	-0.1496	-1.6621	1.4899	7.2485	-0.7973	0.1252	0.5778	2.6306
3.8027	-1.2801	-3.1399	2.1655	0.8683	-1.5180	0.1096	2.5095	0.5043	0.1450	3.5820	2.5445	-0.1509	2.6460	2.5532	-4.2100	2.5331	-0.4260	3.0871	-1.3474	-1.0002	1.4291	-1.9431	1.4949	-0.6519	-1.9186	2.8370	0.8613	-0.4484	0.9296	-0.7397	-0.5151	-2.7072	1.7584	-3.1073	1.3162	-1.1025	4.8522	0.8729	-2.4719	4.8009	-1.2468	-0.2219	-2.5428	-1.3942	3.5812	2.0666	-2.6444	-0.2954	1.6725
-4.5028	2.2556	-2.8252	-4.7558	-2.8032	-3.7792	0.4532	3.6738	0.4533	-2.1369	-0.3328	0.1247	2.5240	-0.8119	0.8888	2.5653	-1.4351	0.1966	-0.7546	-0.1637	-0.4012	-0.2119	2.8443	-1.1420	-2.0915	0.3047	1.2632	0.1893	1.1979	-2.3130	0.4796	-2.7106	3.5471	0.3667	0.0443	-1.8736	1.0114	-3.1495	4.0394	1.2626	0.1493	1.6983	-4.7100	0.3664	1.3251	1.4629	-2.4896	0.0812	-2.9928	-0.6940
0.0962	1.6725	3.2774	0.5399	0.6759	2.8415	-1.7945	-2.7087	-2.3785	-0.9504	-3.6931	-0.0108	1.1241	2.3560	-5.0806	8.8384	-2.8962	2.3436	0.1444	2.6517	-1.3940	-0.3199	1.3037	0.4348	1.2203	0.5152	-0.6801	4.8923	0.9765	0.4789	-0.4797	-1.4726	-0.7740	-2.1817	2.5014	-4.5227	0.5287	-2.0801	1.5851	1.5767	-0.7679	-0.2162	2.2368	-2.6663	2.2013	-2.2975	-1.3692	-0.0861	0.0385	-1.5566
4.4447	1.2948	-5.9857	0.2508	0.2860	-0.8380	1.9589	5.5288	0.6245	4.6878	6.2222	2.9042	-1.0883	-6.9045	10.5619	-6.8888	2.8742	-2.6187	0.2765	-4.6522	1.3904	3.3278	-3.0411	2.8097	-2.9751	-1.1489	3.8296	0.7699	3.8879	-0.1472	0.7028	-4.0493	-1.9049	3.6676	-3.8246	-0.3399	-0.4996	5.1523	-0.5132	-0.9064	2.7770	0.6395	0.6966	-1.1278	0.5981	4.4242	1.4271	-0.5683	-1.2167	2.2249
1.9146	0.7672	11.9742	4.6751	1.1751	0.1180	1.4223	4.0998	-0.2621	-6.1899	4.8802	-0.9335	0.0265	12.2503	-8.2135	0.0723	2.6235	2.4783	2.0126	3.4065	-1.7927	-0.3430	-0.6384	-1.8363	0.3989	-2.3739	0.7234	-1.1144	0.4142	-1.4284	1.4711	0.6235	-2.3451	0.8934	-0.9724	0.4489	-1.1172	2.2907	2.0580	-2.3291	3.5581	-0.8137	2.0374	-0.5511	-1.3886	0.5169	1.4906	-1.9480	0.5084	0.7446
0.3502	-0.0195	-3.9583	3.7982	2.8147	-0.4291	1.9566	3.4090	2.5234	3.6550	9.2512	-0.2963	0.9049	-1.7797	2.4701	-3.5778	2.4326	-2.5844	3.7736	-2.5777	1.6113	1.9104	0.1736	-0.0952	-3.2987	-0.7396	-0.7019	2.0850	0.8629	-0.9603	-1.9243	-0.5830	-3.8479	-2.1970	-0.7951	0.1146	-1.3938	0.2768	0.8616	0.2746	3.6930	0.9855	0.8196	1.0401	0.1124	-2.5299	-1.1579	1.0112	0.1244	2.4146
1.4477	2.5539	-9.7700	1.9179	-1.9072	-0.4183	0.8137	1.2648	2.7759	2.8340	3.9458	-0.1447	0.2608	-6.4156	10.0431	-3.9601	2.3339	-6.2427	0.8980	-4.8629	1.3455	1.4982	3.3050	-0.6029	-2.1186	-0.9699	2.1956	3.1509	-3.2581	-1.3619	-2.5395	1.2302	-0.8748	-0.0486	-1.1583	-0.3175	0.4742	0.3859	2.6537	1.2845	1.0363	-0.4726	-1.4639	-1.4822	1.2415	1.5416	2.3640	-1.2348	-1.3571	1.7671
1.6572	-2.1926	-2.0598	-0.7749	1.1995	0.5233	-3.1747	-2.1398	0.5707	-4.2202	-2.7005	-1.3533	0.5455	6.1628	-3.7508	0.3417	1.9488	-0.4264	-0.0703	0.5341	2.7711	-0.1614	-1.4937	0.3399	0.3544	-1.2935	-1.4430	2.3185	0.7540	1.1853	-3.3109	0.0023	-0.7546	0.3287	1.4600	-0.1910	-0.8183	-0.6226	0.0000	-1.0219	-0.1046	-2.3059	-0.7234	-4.6762	-0.3991	2.3379	4.1252	0.1226	0.3086	1.0897
-0.3829	-0.5908	10.0452	3.0155	0.7689	1.9157	-0.2895	0.4055	0.3877	-3.7316	0.4426	0.4295	-1.4795	5.4901	-5.4285	3.4965	-3.7396	-1.7282	1.7260	2.0914	0.2749	0.3905	-0.6576	-0.4680	0.5365	1.7081	1.1020	1.3755	-0.6542	0.5515	2.4213	0.8476	1.2057	-3.1522	-2.3657	1.2699	-0.7934	-1.3129	2.1298	0.8742	2.7066	-1.1351	0.5694	3.6644	-1.7738	-2.4475	-1.8910	-1.3692	0.0157	0.6919
2.1872	-1.6885	3.0786	-0.0969	-1.0949	-1.5444	-4.4249	-3.9204	0.6925	-4.7484	-4.1746	-1.3065	2.4889	1.8066	-1.6410	0.8321	-1.7108	-0.7486	2.3699	0.5640	1.3057	-0.2505	0.9734	-1.6706	0.8905	-0.7929	-1.3736	0.0962	0.4673	-2.3122	1.7765	0.6440	0.9685	-1.4586	0.5819	-0.9970	0.6645	2.1190	0.4279	0.3677	-1.2655	0.1033	1.1441	-2.2493	-1.1517	-3.3185	-1.0992	-0.6312	-1.2944	0.8184
0.0416	0.7597	2.2179	2.8585	1.3303	0.2192	2.6842	2.6750	0.1665	-0.1981	9.7385	-1.7832	0.1660	1.9007	-2.0464	-3.7657	2.4152	0.0100	1.2858	-1.6039	0.2660	0.8231	2.1232	1.2485	-1.3781	0.9290	-4.2989	1.0214	0.6959	-1.6664	0.0273	-0.8786	-0.4411	-1.3648	0.7192	0.4852	0.5951	-1.8538	-1.5695	1.4267	1.6396	-1.4601	2.2809	3.8542	-0.4913	-3.1436	1.3348	-1.2834	0.5743	1.4223
1.9879	0.9819	3.7205	1.7136	-0.3924	-2.6266	0.2616	1.9378	0.2738	-3.7883	3.1991	-1.2232	1.1576	6.2041	-5.7955	-0.6340	1.2277	1.7310	1.3767	-0.0531	0.7760	0.8261	2.0954	-2.6251	-1.6932	-0.5792	1.0376	0.7530	1.9437	-0.0582	2.6732	0.2176	0.6681	-0.5402	1.7146	-2.6807	-0.2288	1.3104	2.0641	-0.9781	0.2248	1.0538	-3.4985	-0.5900	-1.1564	-2.6217	-0.1177	0.9844	-1.2649	-0.4588
-2.9406	0.2740	5.9245	2.6184	-2.4180	-0.0876	0.1204	-3.0427	-0.4161	-2.9457	-4.1849	-0.5006	-1.1874	4.2739	-4.0785	3.4772	0.1652	2.0928	0.7622	2.7578	0.3620	2.3488	0.1115	1.6139	-0.6033	-2.2863	1.2176	-0.1219	-0.5198	0.3416	0.1212	-0.5079	1.2323	-0.1365	-0.2070	-0.4186	0.2015	-2.7588	-0.1216	-0.8839	-1.0973	-2.3379	0.1232	-1.3428	0.0255	3.7256	0.1711	-3.8940	0.4314	-4.9886
4.9444	1.7763	1.7386	2.1849	1.7511	0.7090	2.1113	5.0007	1.0486	-1.2213	4.4540	1.7612	-2.3297	2.6974	-3.6335	-5.7082	4.7890	-0.4039	2.9197	-2.8473	-2.3505	-0.7168	-1.9421	-0.5438	1.5454	-1.3277	0.4058	1.5131	-0.9813	0.1934	-3.1766	0.9289	-3.1373	-0.4591	-0.3799	0.8407	2.4774	4.6095	1.7537	0.0953	3.6817	-0.9741	2.3318	-0.7158	0.6320	5.5181	2.6772	3.9293	1.0444	4.8159
-1.2347	-0.3443	-8.4887	0.4750	1.3426	-1.7056	-2.1652	-3.7981	-0.3385	2.9857	-3.0512	0.2147	-0.2839	-3.6269	4.6712	0.4745	0.9710	1.8350	-0.5224	-1.8604	3.4409	1.3857	-0.5393	0.2175	0.5561	-1.3072	-0.6239	0.7077	-0.9060	-0.4727	-1.5145	0.7093	-1.0144	2.3455	-0.3591	1.0824	0.1257	-4.6537	-0.3660	-0.3217	-3.1535	-0.1153	-1.1945	-1.2564	-0.4409	0.6130	1.5809	1.1439	1.6552	-2.0325
2.2368	0.8712	-2.0163	4.4011	1.8368	-0.2912	0.4165	1.6413	0.8216	3.4116	5.1588	-0.7004	-0.4078	-3.5038	7.9605	-4.8981	2.9425	-4.0452	1.3108	-7.2830	0.8077	2.5007	3.0127	-1.4797	-0.5072	0.4054	-0.1416	-1.0929	-0.2120	1.8992	0.4300	-0.0951	-1.1098	-2.3156	2.3059	0.4272	-0.4587	1.7791	2.5524	0.1549	0.8156	0.6418	0.5193	1.8893	0.2657	-2.8503	2.6194	-0.1173	-1.1599	1.1118
-1.0473	0.0222	-3.6217	-3.8781	-2.3494	-1.5650	-1.1623	-0.6856	0.2090	1.3512	-5.0228	0.1285	-1.8531	-2.3481	4.8077	-0.2249	-3.4121	0.8840	-2.2154	-1.6883	0.5581	0.2525	1.2755	-2.8035	-1.6466	0.0497	0.2790	-0.8736	2.1391	0.2409	0.9187	1.3218	0.8416	1.5388	1.5031	-0.2587	-1.4073	1.9575	1.0271	-0.7678	-0.1935	-0.2560	-2.6962	-3.5066	-0.7516	-1.7613	-1.1108	-1.2875	-1.5045	0.7632
0.2716	-1.1745	6.6638	3.3881	1.8952	0.8213	0.1375	-1.3165	-2.0474	-7.9499	2.0688	-0.1801	-0.8275	9.1449	-10.0101	-0.5623	0.2719	3.7194	0.8662	3.2871	-2.4780	-4.4251	0.6058	5.2858	2.8234	1.7378	1.3137	-2.3669	-1.2307	0.3625	-0.1877	-3.5395	1.8777	-1.8894	-0.2197	1.0782	-1.2533	-0.6168	-0.8935	0.7446	-0.5160	-1.0519	1.1049	3.5183	-1.5998	-2.0572	-1.7414	-0.1466	0.9848	-0.1309
-2.0153	0.4843	-2.4184	-4.2456	-2.9404	0.3671	0.4375	1.6241	0.4700	4.6820	-3.5655	-1.5126	0.2404	-3.0011	1.9828	3.8506	-1.3754	1.6379	-0.9337	-2.5031	-2.7913	-1.3724	-1.4100	-0.7566	0.8087	-0.2954	-1.6724	0.1152	-1.3979	1.6962	-0.6867	-0.2016	1.1124	0.5980	-0.1295	-3.1406	-0.3050	-2.4406	0.4752	-1.3512	-0.0655	-1.1908	-3.1032	-1.4302	0.3928	4.0839	-0.8162	2.9966	-1.1017	-0.4709
